date,infected,day
2021-01-01,2932.0,0
2021-01-02,2074.0,1
2021-01-03,1907.0,2
2021-01-04,1966.0,3
2021-01-05,2715.0,4
2021-01-06,2653.0,5
2021-01-07,2882.0,6
2021-01-08,1787.0,7
2021-01-09,2218.0,8
2021-01-10,1769.0,9
2021-01-11,1795.0,10
2021-01-12,2093.0,11
2021-01-13,2142.0,12
2021-01-14,2267.0,13
2021-01-15,1881.0,14
2021-01-16,1751.0,15
2021-01-17,1393.0,16
2021-01-18,1317.0,17
2021-01-19,1578.0,18
2021-01-20,1688.0,19
2021-01-21,1646.0,20
2021-01-22,1648.0,21
2021-01-23,1709.0,22
2021-01-24,1483.0,23
2021-01-25,1318.0,24
2021-01-26,1523.0,25
2021-01-27,2080.0,26
2021-01-28,1839.0,27
2021-01-29,1592.0,28
2021-01-30,1717.0,29
2021-01-31,1543.0,30
2021-02-01,1366.0,31
2021-02-02,1739.0,32
2021-02-03,1903.0,33
2021-02-04,1932.0,34
2021-02-05,1863.0,35
2021-02-06,1968.0,36
2021-02-07,1684.0,37
2021-02-08,1529.0,38
2021-02-09,1960.0,39
2021-02-10,2014.0,40
2021-02-11,2088.0,41
2021-02-12,2000.0,42
2021-02-13,1928.0,43
2021-02-14,1622.0,44
2021-02-15,1386.0,45
2021-02-16,1331.0,46
2021-02-17,1810.0,47
2021-02-18,2467.0,48
2021-02-19,2561.0,49
2021-02-20,2632.0,50
2021-02-21,2442.0,51
2021-02-22,2518.0,52
2021-02-23,2956.0,53
2021-02-24,3257.0,54
2021-02-25,3460.0,55
2021-02-26,3588.0,56
2021-02-27,3339.0,57
2021-02-28,3210.0,58
2021-03-01,2809.0,59
2021-03-02,3469.0,60
2021-03-03,4157.0,61
2021-03-04,4056.0,62
2021-03-05,3866.0,63
2021-03-06,4071.0,64
2021-03-07,3519.0,65
2021-03-08,3042.0,66
2021-03-09,4091.0,67
2021-03-10,4576.0,68
2021-03-11,4590.0,69
2021-03-12,4595.0,70
2021-03-13,4668.0,71
2021-03-14,4092.0,72
2021-03-15,4226.0,73
2021-03-16,4634.0,74
2021-03-17,5201.0,75
2021-03-18,5446.0,76
2021-03-19,5346.0,77
2021-03-20,5305.0,78
2021-03-21,4687.0,79
2021-03-22,4232.0,80
2021-03-23,4769.0,81
2021-03-24,5475.0,82
2021-03-25,5297.0,83
2021-03-26,5226.0,84
2021-03-27,5225.0,85
2021-03-28,4497.0,86
2021-03-29,3889.0,87
2021-03-30,4512.0,88
2021-03-31,5471.0,89
2021-04-01,5107.0,90
2021-04-02,4810.0,91
2021-04-03,4826.0,92
2021-04-04,4133.0,93
2021-04-05,3304.0,94
2021-04-06,3706.0,95
2021-04-07,4398.0,96
2021-04-08,3615.0,97
2021-04-09,3625.0,98
2021-04-10,3405.0,99
2021-04-11,3058.0,100
2021-04-12,2732.0,101
2021-04-13,2965.0,102
2021-04-14,3572.0,103
2021-04-15,3154.0,104
2021-04-16,2971.0,105
2021-04-17,2846.0,106
2021-04-18,2583.0,107
2021-04-19,2069.0,108
2021-04-20,2604.0,109
2021-04-21,2965.0,110
2021-04-22,2864.0,111
2021-04-23,2719.0,112
2021-04-24,2384.0,113
2021-04-25,2068.0,114
2021-04-26,1695.0,115
2021-04-27,1987.0,116
2021-04-28,2145.0,117
2021-04-29,2138.0,118
2021-04-30,2007.0,119
2021-05-01,1613.0,120
2021-05-02,1374.0,121
2021-05-03,989.0,122
2021-05-04,1249.0,123
2021-05-05,1304.0,124
2021-05-06,1402.0,125
2021-05-07,1366.0,126
2021-05-08,1277.0,127
2021-05-09,1056.0,128
2021-05-10,834.0,129
2021-05-11,918.0,130
2021-05-12,1125.0,131
2021-05-13,1046.0,132
2021-05-14,901.0,133
2021-05-15,787.0,134
2021-05-16,705.0,135
2021-05-17,568.0,136
2021-05-18,575.0,137
2021-05-19,686.0,138
2021-05-20,609.0,139
2021-05-21,550.0,140
2021-05-22,391.0,141
2021-05-23,404.0,142
2021-05-24,266.0,143
2021-05-25,376.0,144
2021-05-26,414.0,145
2021-05-27,387.0,146
2021-05-28,326.0,147
2021-05-29,330.0,148
2021-05-30,274.0,149
2021-05-31,178.0,150
2021-06-01,248.0,151
2021-06-02,230.0,152
2021-06-03,287.0,153
2021-06-04,218.0,154
2021-06-05,210.0,155
2021-06-06,145.0,156
2021-06-07,116.0,157
2021-06-08,162.0,158
2021-06-09,214.0,159
2021-06-10,198.0,160
2021-06-11,210.0,161
2021-06-12,172.0,162
2021-06-13,119.0,163
2021-06-14,138.0,164
2021-06-15,124.0,165
2021-06-16,132.0,166
2021-06-17,160.0,167
2021-06-18,135.0,168
2021-06-19,162.0,169
2021-06-20,89.0,170
2021-06-21,60.0,171
2021-06-22,88.0,172
2021-06-23,72.0,173
2021-06-24,103.0,174
2021-06-25,80.0,175
2021-06-26,76.0,176
2021-06-27,66.0,177
2021-06-28,63.0,178
2021-06-29,84.0,179
2021-06-30,73.0,180
2021-07-01,104.0,181
2021-07-02,81.0,182
2021-07-03,74.0,183
2021-07-04,79.0,184
2021-07-05,77.0,185
2021-07-06,110.0,186
2021-07-07,110.0,187
2021-07-08,103.0,188
2021-07-09,97.0,189
2021-07-10,110.0,190
2021-07-11,77.0,191
2021-07-12,69.0,192
2021-07-13,118.0,193
2021-07-14,145.0,194
2021-07-15,125.0,195
2021-07-16,156.0,196
2021-07-17,206.0,197
2021-07-18,166.0,198
2021-07-19,125.0,199
2021-07-20,227.0,200
2021-07-21,189.0,201
2021-07-22,228.0,202
2021-07-23,228.0,203
2021-07-24,202.0,204
2021-07-25,249.0,205
2021-07-26,199.0,206
2021-07-27,241.0,207
2021-07-28,290.0,208
2021-07-29,332.0,209
2021-07-30,292.0,210
2021-07-31,353.0,211
2021-08-01,298.0,212
2021-08-02,303.0,213
2021-08-03,386.0,214
2021-08-04,424.0,215
2021-08-05,487.0,216
2021-08-06,579.0,217
2021-08-07,564.0,218
2021-08-08,584.0,219
2021-08-09,457.0,220
2021-08-10,752.0,221
2021-08-11,792.0,222
2021-08-12,921.0,223
2021-08-13,983.0,224
2021-08-14,1072.0,225
2021-08-15,1005.0,226
2021-08-16,817.0,227
2021-08-17,1288.0,228
2021-08-18,1484.0,229
2021-08-19,1497.0,230
2021-08-20,1656.0,231
2021-08-21,1592.0,232
2021-08-22,1510.0,233
2021-08-23,1242.0,234
2021-08-24,1837.0,235
2021-08-25,2216.0,236
2021-08-26,2327.0,237
2021-08-27,2454.0,238
2021-08-28,2434.0,239
2021-08-29,2314.0,240
2021-08-30,1722.0,241
2021-08-31,2335.0,242
2021-09-01,2981.0,243
2021-09-02,3346.0,244
2021-09-03,3524.0,245
2021-09-04,3623.0,246
2021-09-05,3497.0,247
2021-09-06,2800.0,248
2021-09-07,4103.0,249
2021-09-08,5069.0,250
2021-09-09,5633.0,251
2021-09-10,5831.0,252
2021-09-11,6089.0,253
2021-09-12,5461.0,254
2021-09-13,5003.0,255
2021-09-14,6249.0,256
2021-09-15,7723.0,257
2021-09-16,7628.0,258
2021-09-17,7602.0,259
2021-09-18,7572.0,260
2021-09-19,6745.0,261
2021-09-20,5255.0,262
2021-09-21,6424.0,263
2021-09-22,7232.0,264
2021-09-23,7201.0,265
2021-09-24,6480.0,266
2021-09-25,6462.0,267
2021-09-26,6192.0,268
2021-09-27,5389.0,269
2021-09-28,6736.0,270
2021-09-29,8467.0,271
2021-09-30,8171.0,272
2021-10-01,7549.0,273
2021-10-02,7271.0,274
2021-10-03,6412.0,275
2021-10-04,5334.0,276
2021-10-05,5983.0,277
2021-10-06,7190.0,278
2021-10-07,7150.0,279
2021-10-08,6978.0,280
2021-10-09,6401.0,281
2021-10-10,5657.0,282
2021-10-11,4803.0,283
2021-10-12,5700.0,284
2021-10-13,6930.0,285
2021-10-14,6699.0,286
2021-10-15,6786.0,287
2021-10-16,6424.0,288
2021-10-17,6051.0,289
2021-10-18,5077.0,290
2021-10-19,6461.0,291
2021-10-20,7664.0,292
2021-10-21,7745.0,293
2021-10-22,7327.0,294
2021-10-23,7696.0,295
2021-10-24,6748.0,296
2021-10-25,5733.0,297
2021-10-26,5908.0,298
2021-10-27,7840.0,299
2021-10-28,6948.0,300
2021-10-29,6697.0,301
2021-10-30,6217.0,302
2021-10-31,6001.0,303
2021-11-01,4929.0,304
2021-11-02,5896.0,305
2021-11-03,7111.0,306
2021-11-04,6726.0,307
2021-11-05,6126.0,308
2021-11-06,5725.0,309
2021-11-07,4804.0,310
2021-11-08,3888.0,311
2021-11-09,4348.0,312
2021-11-10,5103.0,313
2021-11-11,4606.0,314
2021-11-12,3998.0,315
2021-11-13,3822.0,316
2021-11-14,3484.0,317
2021-11-15,2777.0,318
2021-11-16,3487.0,319
2021-11-17,3773.0,320
2021-11-18,3600.0,321
2021-11-19,3219.0,322
2021-11-20,3086.0,323
2021-11-21,2648.0,324
2021-11-22,2081.0,325
2021-11-23,2771.0,326
2021-11-24,3033.0,327
2021-11-25,2631.0,328
2021-11-26,2677.0,329
2021-11-27,2339.0,330
2021-11-28,2211.0,331
2021-11-29,1674.0,332
2021-11-30,2180.0,333
2021-12-01,2272.0,334
2021-12-02,2180.0,335
2021-12-03,1980.0,336
2021-12-04,1801.0,337
2021-12-05,1613.0,338
2021-12-06,1244.0,339
2021-12-07,1565.0,340
2021-12-08,1884.0,341
2021-12-09,1675.0,342
2021-12-10,1620.0,343
2021-12-11,1387.0,344
2021-12-12,1309.0,345
2021-12-13,944.0,346
2021-12-14,1167.0,347
2021-12-15,1547.0,348
2021-12-16,1359.0,349
2021-12-17,1325.0,350
2021-12-18,1199.0,351
2021-12-19,1015.0,352
2021-12-20,802.0,353
2021-12-21,1029.0,354
2021-12-22,1267.0,355
2021-12-23,1268.0,356
2021-12-24,1177.0,357
2021-12-25,1193.0,358
2021-12-26,1098.0,359
2021-12-27,976.0,360
2021-12-28,1249.0,361
2021-12-29,1676.0,362
2021-12-30,1804.0,363
2021-12-31,1949.0,364
